CATEGORY;URL;ANCHORTEXT
SCHOOL;https://oppilas.otava.fi/#/;School - oppilas.otava.fi
SCHOOL;https://parenting.firstcry.com/articles/top-15-short-moral-stories-for-kids/;School - Cursive-short-stories
SCHOOL;https://www.10monkeys.com/uk/;School - 10monkeys.com
SCHOOL;https://www.bingel.fi/pupil/dashboard;School - Bingel Online
SCHOOL;https://www.ellibslibrary.com/fi/collection/0?format=MP3&language=fi&audience=kids;School - HELMET - ELLIBS Kids Audiobooks
SCHOOL;https://www.hs.fi/lastenuutiset/;School - HS_fi (Lasten Uutiset News)
SCHOOL;https://www.sanomapro.fi/;School - SanomaPro Login
SCHOOL;https://www.storylineonline.net/library/;School - English stories by celebrities
SCHOOL;https://www.worksheetworks.com/english/writing/handwriting/cursive-practice.html;School - Cursive Writing practice
SOFTWARE-TOOLS;https://192.168.10.1;LAN server - Elisa Router
SOFTWARE-TOOLS;https://192.168.10.41;LAN server - OpenMediaVault NAS (OMV)
SOFTWARE-TOOLS;https://192.168.3.16;LAN server - Raspberry Pi4
SOFTWARE-TOOLS;https://192.168.3.1;LAN server - WIFI6 Router
SOFTWARE-TOOLS;https://192.168.8.1;LAN server - Mango VPN Router
SOFTWARE-TOOLS;https://aria2.github.io/;CLI Tool aria2 (best replacement for wget/curl)
SOFTWARE-TOOLS;https://downloads.concepro.com/dropbox-public-files/LCE/ffmpeg-h264-encoding-commands.html;CLI Tool - ffmpeg-h264-encoding-commands
SOFTWARE-TOOLS;https://exiftool.org/;CLI tool - Exiftool
SOFTWARE-TOOLS;https://exiftool.org/exiftool_pod.html;CLI tool - Exiftool documentation
SOFTWARE-TOOLS;https://github.com/Nyr/openvpn-install;CLI Tool - openvpn (easy insallation script)
SOFTWARE-TOOLS;https://github.com/davatorium/rofi;CLI tool - ROFI (Linux dmenu type tool)
SOFTWARE-TOOLS;https://github.com/denisidoro/navi;CLI Tool - navi (CLI interactive cheatsheet)
SOFTWARE-TOOLS;https://github.com/ibraheemdev/modern-unix;LINUX-FU modern-unix COMMANDS LIST
SOFTWARE-TOOLS;https://github.com/iptv-org/iptv;CLI Tool - IPTV - 8000+ channels
SOFTWARE-TOOLS;https://github.com/junegunn/fzf;CLI Tool - fzf fuzzy finder
SOFTWARE-TOOLS;https://github.com/ranger/ranger/wiki/Keybindings;CLI Tool - ranger - cli file manager
SOFTWARE-TOOLS;https://github.com/sharkdp/bat;CLI Tool - bat - syntax highlighter
SOFTWARE-TOOLS;https://github.com/sharkdp/fd;CLI Tool - fd - alternative to find
SOFTWARE-TOOLS;https://github.com/ytdl-org/youtube-dl/blob/master/README.md#output-template-examples;CLI Tool - youtube-dl - download web videos
